zarobki_min,zarobki_max,nazwa,miasto,zdalnie,Unnamed: 0,zarobki
Brak danych,Brak danych,Data Engineer,Nie podano,Nie,,
Brak danych,Brak danych,Specjalista ds. IT/ BI Specialist,Nie podano,Nie,,
Brak danych,Brak danych,Junior Developer,Katowice,Nie,,
Brak danych,Brak danych,Tester,Nie podano,Tak,,
Brak danych,Brak danych,Analityk Biznesowy w Zespole Data Governance i Data Quality Management,Warszawa,Tak,,
Brak danych,Brak danych,Java Developer,Warszawa,Tak,,
Brak danych,Brak danych,Tester Manualny,Nie podano,Tak,,
22000,22000,Front-End developer JS / Angular,Wrocław,Tak,,
Brak danych,Brak danych,Finance Data Operations Specialist,Warszawa,Nie,,
Brak danych,Brak danych,Process Data Consultant/Analyst for Energy Industry (CN),Nie podano,Tak,,
8000,15500,Web Analyst,Warszawa,Nie,,
Brak danych,Brak danych,PHP/Magento Developer - (junior/mid/senior),Nie podano,Tak,,
Brak danych,Brak danych,POS Software Technology Consultant,Nie podano,Tak,,
Brak danych,Brak danych,Senior AI Risk Consultant,Nie podano,Tak,,
Brak danych,Brak danych,Senior Data Engineer,Nie podano,Tak,,
Brak danych,Brak danych,Internship in Business Intelligence,Nie podano,Tak,,
Brak danych,Brak danych,Assistant Vice President - Data Analytics,Kraków,Nie,,
Brak danych,Brak danych,Database Administrator (Wholesale IT),Kraków,Nie,,
Brak danych,Brak danych,Specjalista ds. Systemów Ryzyka,Warszawa,Nie,,
Brak danych,Brak danych,.NET Developer,Warszawa,Nie,,
Brak danych,Brak danych,"Software Developer - Java, Spring",Gdańsk,Nie,,
15000,17000,Business Analyst with BI/Tableau,Kraków,Tak,,
16000,17000,Senior C# Developer,Kraków,Tak,,
15000,20000,Team Lead / Scrum Master with technical background,Kraków,Tak,,
Brak danych,Brak danych,Continuous Improvement Specialist - Automation Process Specialist,Kraków,Tak,,
Brak danych,Brak danych,Frontend Developer,Nie podano,Tak,,
Brak danych,Brak danych,Junior Salesforce Consultant,Nie podano,Tak,,
Brak danych,Brak danych,Solution Developer,Nie podano,Tak,,
Brak danych,Brak danych,Junior Developer Integracji Systemów (Mulesoft),Nie podano,Tak,,
12000,27000,Programista PL/SQL,Nie podano,Tak,,
14000,27000,Programista TIA,Nie podano,Tak,,
Brak danych,Brak danych,Test Automation Engineer,Nie podano,Nie,,
13000,20000,BI Developer (Power BI),Nie podano,Tak,,
Brak danych,Brak danych,Support Engineer z j. angielskim,Łódź,Nie,,
Brak danych,Brak danych,Java Developer,Warszawa,Tak,,
Brak danych,Brak danych,GCP DevOps Engineer (Compliance IT),Kraków,Nie,,
Brak danych,Brak danych,.NET Developer,Nie podano,Tak,,
Brak danych,Brak danych,Traded Risk Junior Analyst (MR) - Internship,Kraków,Tak,,
Brak danych,Brak danych,Automation engineer,Warszawa,Nie,,
Brak danych,Brak danych,Specjalista ds. Wdrożeń,Łódź,Nie,,
6000,9700,Junior Java Developer,Wrocław,Nie,,
5000,9000,Junior PHP Developer,Łódź,Tak,,
Brak danych,Brak danych,Program Management Analyst,Warszawa,Nie,,
Brak danych,Brak danych,Data Sourcing Program Management - VP - Derivatives,Warszawa,Nie,,
Brak danych,Brak danych,Specjalista ds. Procesów,Nie podano,Tak,,
Brak danych,Brak danych,IRR Associate – Project Management,Warszawa,Nie,,
Brak danych,Brak danych,Salesforce Developer,Nie podano,Tak,,
Brak danych,Brak danych,DevOps Engineer,Nie podano,Nie,,
14000,24000,Senior Data Engineer,Nie podano,Tak,,
14000,24000,Senior Data Engineer,Nie podano,Tak,,
12000,20000,SysOps Engineer - Azure,Nie podano,Tak,,
Brak danych,Brak danych,Programista PL/SQL,Warszawa,Nie,,
5000,9000,Junior .NET Developer,Łódź,Nie,,
Brak danych,Brak danych,Analityk Danych,Wrocław,Tak,,
Brak danych,Brak danych,Oracle Database Administrator,Nie podano,Tak,,
Brak danych,Brak danych,SQL Server Database Administrator (m/f/d),Nie podano,Tak,,
Brak danych,Brak danych,Technical Architect - Consulting,Warszawa,Tak,,
Brak danych,Brak danych,(Sr.) Technical Consultant,Warszawa,Tak,,
Brak danych,Brak danych,C++ Developer,Gdańsk,Tak,,
Brak danych,Brak danych,High Tech Consultant – Project Management with Data Analysis (CN),Nie podano,Nie,,
Brak danych,Brak danych,Praktyki w Obszarze Integracji Systemów (Mulesoft),Nie podano,Tak,,
Brak danych,Brak danych,Praktyki Java/Salesforce,Nie podano,Tak,,
Brak danych,Brak danych,Data Structure Designer (CN),Nie podano,Tak,,
Brak danych,Brak danych,Data Transformation Consultant (CN),Nie podano,Tak,,
Brak danych,Brak danych,Data Visualization Consultant (CN),Nie podano,Tak,,
Brak danych,Brak danych,(Regional CIO) Senior Production Support Specialist,Kraków,Nie,,
Brak danych,Brak danych,ETL developer - Data Delivery and Compliance,Warszawa,Nie,,
Brak danych,Brak danych,Praktyki w zespole Data Engineering,Nie podano,Tak,,
Brak danych,Brak danych,Praktyki w obszarze Analizy Danych,Nie podano,Tak,,
Brak danych,Brak danych,Specjalista / Specjalistka Business Intelligence,mazowieckie,Tak,,
7000,14000,PHP Developer,Nie podano,Tak,,
7000,14000,PHP Developer,Nie podano,Tak,,
Brak danych,Brak danych,IT Service Owner – Wealth & Personal Banking IT,Kraków,Nie,,
Brak danych,Brak danych,Software Development Engineer (Java SQL),Kraków,Tak,,
Brak danych,Brak danych,Internship - Quality Assurance,Kraków,Tak,,
Brak danych,Brak danych,Program Stażowy Magenta Start - Hurtownia Danych,Warszawa,Nie,,
Brak danych,Brak danych,Tester,Nie podano,Tak,,
Brak danych,Brak danych,Koordynator ds. Aplikacji,Kraków,Nie,,
Brak danych,Brak danych,Working Student - Laboratory support,Kraków,Nie,,
Brak danych,Brak danych,Administrator systemów ERP,Nie podano,Nie,,
23000,27000,Full Stack .Net Developer + React,Nie podano,Tak,,
Brak danych,Brak danych,Java Developer,Nie podano,Tak,,
Brak danych,Brak danych,Data analyst,Warszawa,Nie,,
Brak danych,Brak danych,Analityk/- czka systemów IT,Warszawa,Tak,,
Brak danych,Brak danych,Data Analyst (Financial Crime Prevention),Warszawa,Nie,,
Brak danych,Brak danych,Analityk Systemowy,Wrocław,Tak,,
Brak danych,Brak danych,Senior SQL Developer,Wrocław,Tak,,
Brak danych,Brak danych,Administrator systemów i aplikacji (kluczowe aplikacje płatnicze),Warszawa,Nie,,
Brak danych,Brak danych,Senior Manager – Core PC (GFOC),Kraków,Nie,,
Brak danych,Brak danych,Ekspert ds. Testów CRM,Gdańsk,Nie,,
Brak danych,Brak danych,Starszy Specjalista ds. Intelligent Automation,Nie podano,Nie,,
15000,22500,Senior Data Scientist - Ekspert ds. modelowania danych,Warszawa,Tak,,
Brak danych,Brak danych,Analyst - Risk Reporting with Czech,Kraków,Nie,,
3500mies.,3500mies.,Młodszy developer Microsoft BI - SQL Server i Power BI,Nie podano,Tak,,
Brak danych,Brak danych,Senior Fullstack Java Developer,Warszawa,Nie,,
Brak danych,Brak danych,Główny Specjalista / Główna Specjalistka w Wydziale Analityki Biznesowej,Bydgoszcz,Nie,,
Brak danych,Brak danych,IT Systems Analyst,Warszawa,Nie,,
Brak danych,Brak danych,Junior Systems Engineer / Application,Gdańsk,Nie,,
8000,28056,"Systems Engineer - Linux, Cloud, DevOps",Gdańsk,Nie,,
Brak danych,Brak danych,AVP Finance Analytics (GFOC),Kraków,Nie,,
6000,12600,"Junior Systems Engineer - Linux, Cloud, DevOps",Gdańsk,Tak,,
Brak danych,Brak danych,Data Analytics and BI Specialist,Nie podano,Nie,,
Brak danych,Brak danych,Oracle Data Integrator (ODI) Developer,Nie podano,Nie,,
Brak danych,Brak danych,CRM - Business Intelligence Supervisor,Warszawa,Nie,,
4500,10000,Wdrożeniowiec - Programista Systemów BPM,Nie podano,Tak,,
Brak danych,Brak danych,Risk Analyst,Kraków,Nie,,
Brak danych,Brak danych,IT Business Analyst,Nie podano,Nie,,
Brak danych,Brak danych,Analityk IT,Warszawa,Nie,,
Brak danych,Brak danych,Analityk IT,Warszawa,Nie,,
Brak danych,Brak danych,Full Stack Developer (C#/.Net & React),Kraków,Tak,,
Brak danych,Brak danych,Software Developer,Łódź,Nie,,
Brak danych,Brak danych,Architekt IT,Nie podano,Tak,,
Brak danych,Brak danych,Junior PHP/JS Developer - Tech Support,Warszawa,Nie,,
Brak danych,Brak danych,Programista Front-end,Wrocław,Tak,,
20000,28000,Senior Node.js Developer,Nie podano,Tak,,
18000,22000,Senior Fullstack Developer VueJs / .NET,Nie podano,Tak,,
8000,15000,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,,
Brak danych,Brak danych,Programista APIGW,Nie podano,Tak,,
5100,9000,Junior Frontend Developer,Nie podano,Tak,,
7000,10000,Programista APS.net  / MS VBA,Warszawa,Tak,,
Brak danych,Brak danych,Młodszy Programista .NET,Warszawa,Nie,,
Brak danych,Brak danych,C# (ASP.NET) Developer,Nie podano,Tak,,
Brak danych,Brak danych,Senior C#/.NET Software Developer,Nie podano,Tak,,
Brak danych,Brak danych,Frontend Developer with React,Nie podano,Nie,,
Brak danych,Brak danych,Support Analyst for Google Ad Manager with German,Kraków,Nie,,
10460,20160,Ruby Developer,Nie podano,Tak,,
11000,18000,Frontend Developer,Nie podano,Tak,,
Brak danych,Brak danych,PHP Developer,Nie podano,Tak,,
Brak danych,Brak danych,Frontend Developer,Warszawa,Tak,,
13000,15000,React Developer,Nie podano,Tak,,
Brak danych,Brak danych,Full Stack Engineer (Wholesale IT),Kraków,Nie,,
8000,28056,React Frontend Developer,Gdańsk,Tak,,
Brak danych,Brak danych,Software Developer (Ruby / Java),Kraków,Tak,,
Brak danych,Brak danych,Test Engineer,Gdańsk,Nie,,
Brak danych,Brak danych,Tester,Nie podano,Tak,,
Brak danych,Brak danych,Java Developer,Warszawa,Tak,,
10000,14000,Full Stack Developer LAMP - PHP - Vue.js,Nie podano,Tak,,
Brak danych,Brak danych,Senior Developer DB/Java,Wrocław,Tak,,
22000,22000,Front-End developer JS / Angular,Wrocław,Tak,,
Brak danych,Brak danych,Fullstack Web Developer,Warszawa,Nie,,
Brak danych,Brak danych,PHP/Magento Developer - (junior/mid/senior),Nie podano,Tak,,
Brak danych,Brak danych,Test Automation Engineer,Kraków,Nie,,
Brak danych,Brak danych,Front-End Developer in Visual Display Team,Warszawa,Nie,,
Brak danych,Brak danych,.NET Developer,Warszawa,Nie,,
Brak danych,Brak danych,Java Developer,Warszawa,Tak,,
Brak danych,Brak danych,Senior Python Developer,Nie podano,Tak,,
Brak danych,Brak danych,Python Developer,Nie podano,Tak,,
19000,24000,React Native Developer,Nie podano,Tak,,
13000,18000,Programista / Programistka .NET,Nie podano,Nie,,
Brak danych,Brak danych,Programista .NET,Warszawa,Tak,,
Brak danych,Brak danych,Internship Programme (Software Development) July 2022,Kraków,Tak,,
Brak danych,Brak danych,Internship Programme (Quality Assurance) July 2022,Kraków,Tak,,
9000,16000,Microsoft Full Stack Developer,Nie podano,Tak,,
10985,25000,JavaScript Developer,Nie podano,Tak,,
Brak danych,Brak danych,Software Engineer API&UI,Nie podano,Tak,,
Brak danych,Brak danych,Java Developer,Nie podano,Tak,,
Brak danych,Brak danych,Front-End Engineer for Cloud  Services,Warszawa,Nie,,
12000,20000,Remote Frontend Engineer (Vue.js),Nie podano,Tak,,
Brak danych,Brak danych,Full Stack Software Engineer,Gdańsk,Tak,,
Brak danych,Brak danych,Frontend Developer in Research and Development Center,Warszawa,Nie,,
10000,16000,Node.js Developer,Warszawa,Tak,,
Brak danych,Brak danych,Sitecore Developer,Poznań,Tak,,
Brak danych,Brak danych,Programista Backend (Node.js),Gdynia,Nie,,
15000,23000,Senior Front-end Developer,Warszawa,Tak,,
Brak danych,Brak danych,Senior Full Stack Developer and Data Engineer,Nie podano,Tak,,
Brak danych,Brak danych,Senior Full Stack Developer (Focus Frontend and JavaScript (React.js)),Nie podano,Tak,,
Brak danych,Brak danych,Front-end Developer React,Nie podano,Tak,,
11000,18000,.NET Developer,Nie podano,Tak,,
Brak danych,Brak danych,Praktyki Java/Salesforce,Nie podano,Tak,,
Brak danych,Brak danych,Java Software Developer,Nie podano,Tak,,
10000,16000,Mid Front-end Developer,Warszawa,Tak,,
16800,25200,Python Developer (in fintech industry) (EU candidates),Nie podano,Tak,,
Brak danych,Brak danych,React Native Developer (EU candidates),Nie podano,Tak,,
5500,11000,Front-End Developer,Nie podano,Tak,,
Brak danych,Brak danych,Program Stażowy Magenta Start - Hurtownia Danych,Warszawa,Nie,,
Brak danych,Brak danych,(Investment Banking Tech) Software Engineer (Sales IT),Kraków,Nie,,
Brak danych,Brak danych,.Net C# Junior Developer,Kraków,Tak,,
Brak danych,Brak danych,.Net C# Developer,Kraków,Tak,,
Brak danych,Brak danych,Software Frontend Developer (js/React),Kraków,Tak,,
10000,29400,FullStack Java Developer,Nie podano,Tak,,
Brak danych,Brak danych,Tester,Nie podano,Tak,,
Brak danych,Brak danych,Solution Architect,Warszawa,Tak,,
Brak danych,Brak danych,Guidewire Developer,Nie podano,Tak,,
23000,27000,Full Stack .Net Developer + React,Nie podano,Tak,,
Brak danych,Brak danych,Java Developer,Nie podano,Tak,,
Brak danych,Brak danych,Fullstack engineer (Java/Angular),Warszawa,Nie,,
9000,12000,QA Engineer (m/f/d),Katowice,Tak,,
21000,28500,Senior React Native Developer,Kraków,Tak,,
Brak danych,Brak danych,Senior Java developer,Kraków,Tak,,
20000,25000,Senior Java Developer,Wrocław,Tak,,
Brak danych,Brak danych,Frontend Developer – React,Katowice,Nie,,
Brak danych,Brak danych,Senior SAS Developer,Warszawa,Nie,,
Brak danych,Brak danych,"Program Stażowy Magenta Start - Frontend Developer (FTTH, 5G)",Warszawa,Nie,,
Brak danych,Brak danych,Senior PHP Developer/Architect,Nie podano,Tak,,
Brak danych,Brak danych,.NET Developer,Nie podano,Tak,,
8000,14000,Programista PHP,Nie podano,Nie,,
Brak danych,Brak danych,BACKEND  - PHP Developer,Prandocin (pow. krakowski),Nie,,
Brak danych,Brak danych,Ekspert ds. web analytics,Poznań,Nie,,
Brak danych,Brak danych,JavaScript Developer,Nie podano,Tak,,
Brak danych,Brak danych,Senior Penetration Tester,Kraków,Nie,,
9100,15100,Node.js Developer,Kraków,Tak,,
Brak danych,Brak danych,Software Engineer,Kraków,Tak,,
Brak danych,Brak danych,Web front-end developer and process manager,Nie podano,Nie,,
Brak danych,Brak danych,React Developer,Kraków,Nie,,
13000,18000,Java Developer,Nie podano,Nie,,
16500,27000,"Senior Full Stack Developer (React, Node.js)",Nie podano,Tak,,
11000,18000,Python Developer,Nie podano,Tak,,
Brak danych,Brak danych,JADE Developer,Kraków,Tak,,
Brak danych,Brak danych,React Mid Developer (IoT),Kraków,Tak,,
16000,20000,Programista C# Full Stack,Nie podano,Tak,,
Brak danych,Brak danych,Network Specialist (ITID Telco),Kraków,Nie,,
Brak danych,Brak danych,Senior Fullstack Java Developer,Warszawa,Nie,,
8000,12500,Technical Account Manager (APAC),Nie podano,Tak,,
Brak danych,Brak danych,Fullstack JavaScript Developer,Łódź,Nie,,
Brak danych,Brak danych,Web Designer & Web Developer,Warszawa,Nie,,
10000,16000,React Native Developer,Nie podano,Tak,,
Brak danych,Brak danych,(CTO) Senior Full Stack Engineer,Kraków,Nie,,
Brak danych,Brak danych,(CTO) Cloud Security Engineer,Kraków,Nie,,
Brak danych,Brak danych,Junior Frontend Developer,Nie podano,Nie,,
8800,13600,Remote Backend WordPress Developer,Nie podano,Tak,,
Brak danych,Brak danych,Praktyki PHP/ Magento,Nie podano,Tak,,
Brak danych,Brak danych,Praktyki IT w obszarze biznesowym (E-commerce),Nie podano,Tak,,
Brak danych,Brak danych,Full Stack Developer,Warszawa,Nie,,
Brak danych,Brak danych,FullStack Developer (C#/.Net/js/React),Kraków,Tak,,
Brak danych,Brak danych,Senior SAP Developer - FIORI Full-Stack,Nie podano,Nie,,
4800,7850,Junior QA Specialist,Nie podano,Tak,,
4500,10000,Wdrożeniowiec - Programista Systemów BPM,Nie podano,Tak,,
Brak danych,Brak danych,Angular Developer,Gdańsk,Tak,,
Brak danych,Brak danych,Junior .NET Developer,Gdańsk,Nie,,
Brak danych,Brak danych,Technology Consultant,Warszawa,Tak,,
Brak danych,Brak danych,IAM Security Specialist,Nie podano,Tak,,
Brak danych,Brak danych,(IT CCM) Solution Architect,Kraków,Nie,,
Brak danych,Brak danych,C++ Developer,Kraków,Tak,,
Brak danych,Brak danych,Agile Test Engineer,Kraków,Tak,,
Brak danych,Brak danych,Programista/ Programistka Full Stack,Nie podano,Nie,,
25000,31000,Software Development Engineer - Backend developer with Node.js,Nie podano,Tak,,
Brak danych,Brak danych,Senior JavaScript Engineer,Wrocław,Tak,,
Brak danych,Brak danych,Regular JavaScript Engineer,Wrocław,Tak,,
Brak danych,Brak danych,Senior Java Engineer,Wrocław,Tak,,
Brak danych,Brak danych,Regular Java Engineer,Wrocław,Tak,,
Brak danych,Brak danych,Junior .NET Developer,Łódź,Nie,,
Brak danych,Brak danych,Full Stack Developer (C#/.Net & React),Kraków,Tak,,
Brak danych,Brak danych,Software Developer,Łódź,Nie,,
13800,21000,Senior Front-end Developer,Kraków,Tak,,
10800,16800,React Native Developer,Kraków,Tak,,
Brak danych,Brak danych,R&D Engineer – React/TypeScript Front-end Developer for Mission Critical Communication,Kraków,Nie,,
Brak danych,Brak danych,R&D Front-end QA Specialist for Mission Critical Communication,Kraków,Nie,,
6000,10000,Programista APS.net  / MS VBA,Warszawa,Tak,,
Brak danych,Brak danych,Software Frontend Developer / React,Kraków,Tak,,
Brak danych,Brak danych,Frontend Developer,Kraków,Tak,,
Brak danych,Brak danych,Hardware System Test Engineer,Nie podano,Tak,,
Brak danych,Brak danych,Junior PHP/JS Developer - Tech Support,Warszawa,Nie,,
Brak danych,Brak danych,Data Science Advisor - Data Scientist,Warszawa,Nie,,
Brak danych,Brak danych,AI Camera Pipeline Developer in Artificial Intelligence Team,Warszawa,Nie,,
Brak danych,Brak danych,Enterprise monitoring administrator,Wrocław,Tak,,
26000,33000,Solution Architect (.Net),Kraków,Tak,,
Brak danych,Brak danych,Technical Support Engineer,Warszawa,Nie,,
13000,15000,React Developer,Nie podano,Tak,,
Brak danych,Brak danych,Senior Software Engineer,Gdańsk,Nie,,
Brak danych,Brak danych,Inżynier Wsparcia Usług Mobilnych,Warszawa,Tak,,
Brak danych,Brak danych,CIB Treasury - Senior Associate - Liquidity Controller,Warszawa,Nie,,
Brak danych,Brak danych,Test Engineer,Gdańsk,Nie,,
Brak danych,Brak danych,Data analyst,Nie podano,Nie,,
Brak danych,Brak danych,Senior Natural Language Processing Engineer in Artificial Intelligence Team,Warszawa,Nie,,
Brak danych,Brak danych,Python Developer - Data Mining,Nie podano,Tak,,
80,120godz,Trener Programowania dla dzieci i młodzieży,Nie podano,Nie,,
Brak danych,Brak danych,Tester Oprogramowania,Gdynia,Nie,,
Brak danych,Brak danych,R&D Quality Engineer,Kraków,Tak,,
9000,15000,IT Specialist – Specjalista ds. Wdrożeń,Wrocław,Nie,,
Brak danych,Brak danych,Senior Developer DB/Java,Wrocław,Tak,,
22000,22000,Front-End developer JS / Angular,Wrocław,Tak,,
Brak danych,Brak danych,Technology Specialist - Analytics Cloud Security,Kraków,Nie,,
8000,15500,Web Analyst,Warszawa,Nie,,
Brak danych,Brak danych,Senior Data Scientist,Nie podano,Tak,,
Brak danych,Brak danych,Senior AI Risk Consultant,Nie podano,Tak,,
Brak danych,Brak danych,Senior Data Engineer,Nie podano,Tak,,
Brak danych,Brak danych,Assistant Vice President - Data Analytics,Kraków,Nie,,
Brak danych,Brak danych,Mobile Developer (Wealth & Personal Banking IT),Kraków,Nie,,
Brak danych,Brak danych,Technology Platform Product Manager (Wealth & Personal Banking IT),Kraków,Nie,,
Brak danych,Brak danych,Automation Engineer (Wholesale IT),Kraków,Nie,,
Brak danych,Brak danych,Fullstack Web Developer,Warszawa,Nie,,
Brak danych,Brak danych,Lead Cloud Systems Security Engineer,Kraków,Nie,,
Brak danych,Brak danych,Core Networking Engineering Team Subject Matter Expert – Telecom Services (ITID Telco),Kraków,Nie,,
Brak danych,Brak danych,Finance Data Operations Specialist,Warszawa,Nie,,
Brak danych,Brak danych,Process Data Consultant/Analyst for Energy Industry (CN),Nie podano,Tak,,
Brak danych,Brak danych,Front-End Developer in Visual Display Team,Warszawa,Nie,,
Brak danych,Brak danych,Technology Specialist - CDO (vulnerability management analyst),Kraków,Nie,,
Brak danych,Brak danych,Młodszy Programista Testów,Tczew,Nie,,
15000,17000,Business Analyst with BI/Tableau,Kraków,Tak,,
Brak danych,Brak danych,GCP DevOps Engineer (Compliance IT),Kraków,Nie,,
Brak danych,Brak danych,Test Automation Engineer,Wrocław,Tak,,
Brak danych,Brak danych,Software Test Engineer,Wrocław,Tak,,
Brak danych,Brak danych,Senior Python Developer,Nie podano,Tak,,
Brak danych,Brak danych,Senior DevOps Engineer,Nie podano,Tak,,
Brak danych,Brak danych,Senior C++ Developer,Nie podano,Tak,,
Brak danych,Brak danych,Senior C/C++ Embedded Developer,Nie podano,Tak,,
Brak danych,Brak danych,Python Developer,Nie podano,Tak,,
Brak danych,Brak danych,Junior Software Test Engineer,Nie podano,Tak,,
Brak danych,Brak danych,Junior C++ Developer,Nie podano,Tak,,
Brak danych,Brak danych,DevOps Engineer,Nie podano,Tak,,
Brak danych,Brak danych,C++ Developer,Nie podano,Tak,,
Brak danych,Brak danych,C/C++ Embedded Developer,Nie podano,Tak,,
Brak danych,Brak danych,C Embedded Engineer,Nie podano,Nie,,
Brak danych,Brak danych,Linux Administrator (regular),Poznań,Tak,,
Brak danych,Brak danych,Linux Scripting Engineer,Nie podano,Tak,,
Brak danych,Brak danych,Internship Programme (Performance Testing) July 2022,Kraków,Tak,,
Brak danych,Brak danych,"Market Data Expert, Officer",Nie podano,Nie,,
Brak danych,Brak danych,Security Engineer - Android Vulnerability Researcher,Warszawa,Nie,,
Brak danych,Brak danych,C++ Developer,Gdańsk,Tak,,
Brak danych,Brak danych,Software Quality Engineer,Kraków,Tak,,
Brak danych,Brak danych,High Tech Consultant – Project Management with Data Analysis (CN),Nie podano,Nie,,
Brak danych,Brak danych,Praktyki w zespole Data Engineering,Nie podano,Tak,,
Brak danych,Brak danych,Praktyki w Obszarze Integracji Systemów (Mulesoft),Nie podano,Tak,,
20160,28560,Machine Learning Engineer (EU Candidates),Nie podano,Tak,,
Brak danych,Brak danych,Machine Learning Engineer (EU Candidates),Nie podano,Tak,,
20160,28560,Machine Learning Engineer (EU Candidates),Nie podano,Tak,,
Brak danych,Brak danych,Junior Data Analyst with Python,Warszawa,Nie,,
Brak danych,Brak danych,Senior Python Developer,Nie podano,Nie,,
Brak danych,Brak danych,Automation Analyst,Katowice,Tak,,
Brak danych,Brak danych,Program Stażowy Magenta Start - Hurtownia Danych,Warszawa,Nie,,
Brak danych,Brak danych,Java Developer,Warszawa,Nie,,
Brak danych,Brak danych,Tester Automatyzujący,Warszawa,Nie,,
Brak danych,Brak danych,"Technical Leader, Development",Nie podano,Tak,,
Brak danych,Brak danych,Program Stażowy Magenta Start - Hurtownia Danych,Warszawa,Nie,,
Brak danych,Brak danych,Java Developer,Warszawa,Nie,,
Brak danych,Brak danych,Tester Automatyzujący,Warszawa,Nie,,
Brak danych,Brak danych,"Technical Leader, Development",Nie podano,Tak,,
6000,12600,Junior Java Developer,Gdańsk,Tak,,
Brak danych,Brak danych,Working Student - Laboratory support,Kraków,Nie,,
Brak danych,Brak danych,Senior Python/GO Software Engineer,Nie podano,Tak,,
10000,20000,"Software Developer - C++, Qt",Nie podano,Tak,,
Brak danych,Brak danych,Senior Python/GO Software Engineer,Nie podano,Tak,,
10000,20000,"Software Developer - C++, Qt",Nie podano,Tak,,
Brak danych,Brak danych,Intelligent Automation and Data Analytics - Associate,Warszawa,Nie,,
Brak danych,Brak danych,Automation Developer – Senior Associate,Warszawa,Nie,,
Brak danych,Brak danych,Data Analyst (Financial Crime Prevention),Warszawa,Nie,,
9000,12000,QA Engineer (m/f/d),Katowice,Tak,,
Brak danych,Brak danych,DevOps Engineer,Kraków,Nie,,
Brak danych,Brak danych,Senior Java developer,Kraków,Tak,,
Brak danych,Brak danych,Senior QA Automation Engineer,Wrocław,Tak,,
Brak danych,Brak danych,Scala/Big Data Developer,Kraków,Tak,,
Brak danych,Brak danych,Backend Software Engineer,Kraków,Tak,,
Brak danych,Brak danych,Senior Test Automation Developer (Python/C++),Kraków,Tak,,
Brak danych,Brak danych,Senior Manager – Core PC (GFOC),Kraków,Nie,,
Brak danych,Brak danych,Mobile and Mac Security Engineer,Kraków,Nie,,
Brak danych,Brak danych,Lead AVP - Compliance Analytics,Kraków,Nie,,
Brak danych,Brak danych,Data Scientist (Financial Crime Prevention),Warszawa,Nie,,
Brak danych,Brak danych,R&D Scientist in User Experience for Industrial AI and Autonomous Systems,Kraków,Nie,,
Brak danych,Brak danych,R&D Scientist in Software Design for Machine Learning,Kraków,Nie,,
Brak danych,Brak danych,R&D Scientist in Applied AI / ML,Kraków,Nie,,
Brak danych,Brak danych,R&D Scientist in Power Systems Modeling and Machine Learning,Kraków,Nie,,
Brak danych,Brak danych,Senior AVP - Compliance Analytics,Kraków,Nie,,
Brak danych,Brak danych,Manager - Compliance Analytics,Kraków,Nie,,
Brak danych,Brak danych,Lead AVP - Compliance Analytics,Kraków,Nie,,
Brak danych,Brak danych,Data Scientist (Financial Crime Prevention),Warszawa,Nie,,
Brak danych,Brak danych,R&D Scientist in User Experience for Industrial AI and Autonomous Systems,Kraków,Nie,,
Brak danych,Brak danych,System Validation Engineer,Kraków,Nie,,
Brak danych,Brak danych,Data Analyst,Kraków,Nie,,
Brak danych,Brak danych,Specjalista/Specjalistka ds. Analiz Biznesowych,Warszawa,Nie,,
Brak danych,Brak danych,Administrator Systemów Microsoft,Warszawa,Nie,,
Brak danych,Brak danych,Specjalista ds. Analiz i Raportów,Warszawa,Nie,,
Brak danych,Brak danych,Senior Data Engineer,Kraków,Tak,,
Brak danych,Brak danych,Data Engineer,Kraków,Tak,,
Brak danych,Brak danych,Quantitative Internship – Independent Model Review,Kraków,Tak,,
Brak danych,Brak danych,Quantitative Analyst – Independent Model Review,Kraków,Tak,,
Brak danych,Brak danych,Security Engineer,Kraków,Nie,,
Brak danych,Brak danych,Security Engineer,Kraków,Nie,,
Brak danych,Brak danych,Starszy Specjalista ds. Intelligent Automation,Nie podano,Nie,,
Brak danych,Brak danych,Big Data Senior Analyst,Kraków,Nie,,
Brak danych,Brak danych,Junior Application Support Engineer,Warszawa,Nie,,
Brak danych,Brak danych,Architekt IT,Warszawa,Tak,,
Brak danych,Brak danych,SQL & Qsense Developer,Kraków,Tak,,
15000,22500,Senior Data Scientist - Ekspert ds. modelowania danych,Warszawa,Tak,,
Brak danych,Brak danych,Security Engineer (Antimalware and Endpoint Security),Kraków,Nie,,
Brak danych,Brak danych,Analyst - Risk Reporting with Czech,Kraków,Nie,,
Brak danych,Brak danych,Security Engineer (Antimalware and Endpoint Security),Kraków,Nie,,
Brak danych,Brak danych,Senior Engineering Specialist – File Transmissions (ITID ES),Kraków,Tak,,
Brak danych,Brak danych,Specjalista w obszarze Analizy Danych,Katowice,Nie,,
8000,12500,Technical Account Manager (APAC),Nie podano,Tak,,
Brak danych,Brak danych,Intern Pricing,Wrocław,Nie,,
Brak danych,Brak danych,Data Scientist,Warszawa,Nie,,
8000,12500,Technical Account Manager (APAC),Nie podano,Tak,,
Brak danych,Brak danych,Intern Pricing,Wrocław,Nie,,
Brak danych,Brak danych,Data Scientist,Warszawa,Nie,,
Brak danych,Brak danych,Lead Platform Architect (Compliance IT),Kraków,Tak,,
